Met;Frag;N_033;N_3;N_12;N_24;A_033;A_3;A_12;A_24
3PG;3PG;0.44375;0.546527778;0.419444444;0.391666667;0.406944444;0.394444444;0.463194444;0.404166667
3PG;3PG;0.250694444;0.147916667;0.275;0.302777778;0.2875;0.3;0.23125;0.290277778
PEP;PEP;0.482638889;0.535416667;0.429166667;0.401388889;0.422222222;0.44375;0.523611111;0.468055556
PEP;PEP;0.211805556;0.159027778;0.265277778;0.293055556;0.272222222;0.250694444;0.170833333;0.226388889
Lac;Lac;0.629166667;0.6125;0.61875;0.586111111;0.688888889;0.684722222;0.672222222;0.572222222
Lac;Lac;0.094;0.081944444;0.075694444;0.108333333;0.008;0.014;0.032;0.122222222
Lac;Lac;0;0;0;0;0;0;0;0
Ala;Ala;0.543055556;0.504166667;0.463194444;0.448611111;0.597916667;0.575;0.549305556;0.493055556
Ala;Ala;0.151388889;0.190277778;0.23125;0.245833333;0.096527778;0.119444444;0.145138889;0.201388889
Ala;Ala;0;0;0;0;0;0;0;0
Cit;Cit;0.563888889;0.495138889;0.470138889;0.455555556;0.620833333;0.611111111;0.538194444;0.504166667
Cit;Cit;0.129166667;0.18125;0.1875;0.195833333;0.073611111;0.082638889;0.13125;0.157638889
Cit;Cit;0.002;0.025;0.047;0.056;0;0.002;0.034;0.046
Cit;Cit;0;0;0.006;0.006;0;0;0.002;0.001
Suc;Suc;0.676388889;0.65625;0.648611111;0.640972222;0.689583333;0.689583333;0.682638889;0.665972222
Suc;Suc;0.026;0.054;0.063;0.070;0.007;0.007;0.017;0.036
Suc;Suc;0;0.001;0.003;0.007;0;0;0.001;0.004
Suc;Suc;0;0;0;0;0;0;0;0
Fum;Fum;0.670138889;0.623611111;0.593055556;0.569444444;0.688194444;0.663194444;0.611805556;0.605555556
Fum;Fum;0.031;0.093;0.0875;0.10625;0.008;0.043;0.071527778;0.080555556
Fum;Fum;0.004;0.009;0.020;0.026;0.001;0.002;0.016;0.011
Fum;Fum;0;0;0.001;0.002;0;0;0;0.001
Mal;Mal;0.669444444;0.620833333;0.572916667;0.561805556;0.690277778;0.661111111;0.5625;0.532638889
Mal;Mal;0.035;0.070138889;0.108333333;0.115972222;0.006;0.048;0.120833333;0.147916667
Mal;Mal;0;0.003;0.017;0.022;0;0;0.016;0.020
Mal;Mal;0;0.001;0.001;0.002;0;0;0;0
Asp;Asp;0.677777778;0.631944444;0.573611111;0.567361111;1;0.664583333;0.609027778;0.603472222
Asp;Asp;0.024;0.089;0.109722222;0.113194444;0;0.043;0.080555556;0.086111111
Asp;Asp;0;0.001;0.015;0.018;0;0;0.006;0.005
Asp;Asp;0;0;0.001;0.001;0;0;0.001;0.002
Glu;Glu;0.653472222;0.602083333;0.552777778;0.554166667;0.680555556;0.640277778;0.461111111;0.427777778
Glu;Glu;0.057;0.084027778;0.120138889;0.115972222;0.020;0.077;0.197916667;0.222916667
Glu;Glu;0.001;0.011;0.029;0.032;0;0.001;0.050;0.062
Glu;Glu;0;0;0.002;0.003;0;0;0.001;0.001
Gln;Gln;1;0.690972222;0.689583333;0.690277778;1;0.669444444;0.547916667;0.497222222
Gln;Gln;0;0.005;0.007;0.006;0;0.036;0.127777778;0.166666667
Gln;Gln;0;0;0;0;0;0;0.026;0.043
Gln;Gln;0;0;0;0;0;0;0;0
