mass_isotope,intensity_std_error,ms_id,experiment_id,met_id,labelled_atom_ids,unlabelled_atoms,measurement_replicate,time,intensity
0,0.003,Alanine232,inst1,ALA,"[2, 3]",C8H26ONSi2,1,0.1,0.5091125600761098
0,0.003,Alanine260,inst1,ALA,"[1, 2, 3]",C8H26O2NSi2,1,0.1,0.4981045427020062
0,0.003,Glycine218,inst1,GL,[2],C8H24ONSi2,1,0.1,0.598359355403888
0,0.003,Glycine246,inst1,GL,"[1, 2]",C8H24O2NSi2,1,0.1,0.5781535876398814
0,0.003,Valine260,inst1,VAL,"[2, 3, 4, 5]",C8H30ONSi2,1,0.1,0.7384083000250232
0,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,0.1,0.7286540553501738
0,0.003,Leucine274,inst1,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.7301938001179368
0,0.003,Isoleucine274,inst1,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.7301938017006442
0,0.003,Methionine320,inst1,MET,"[2, 3, 4, 5]",C6H24NSiS,1,0.1,0.7803293280179117
0,0.003,Serine362,inst1,SER,"[2, 3]",C14H40O2NSi3,1,0.1,0.41784315177207226
0,0.003,Serine390,inst1,SER,"[1, 2, 3]",C14H40O3NSi3,1,0.1,0.39710972828304775
0,0.003,Threonine376,inst1,THR,"[2, 3, 4]",C14H42O2NSi3,1,0.1,0.642157815744952
0,0.003,Threonine404,inst1,THR,"[1, 2, 3, 4]",C14H42O3NSi3,1,0.1,0.6336750232335707
0,0.003,Phenylalanine302,inst1,PHE,"[1, 2]",C12H32O2NSi2,1,0.1,0.7205480673162572
0,0.003,Phenylalanine308,inst1,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,0.1,0.7069763749156395
0,0.003,Phenylalanine336,inst1,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,1,0.1,0.6976373405649623
0,0.003,Asparticacid302,inst1,ASP,"[1, 2]",C12H32O2NSi2,1,0.1,0.7205480673910776
0,0.003,Asparticacid390,inst1,ASP,"[2, 3, 4]",C14H40O3NSi3,1,0.1,0.6408037089934564
0,0.003,Asparticacid418,inst1,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,0.1,0.6323388039955952
0,0.003,Glutamicacid330,inst1,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,0.1,0.7046056198690195
0,0.003,Glutamicacid432,inst1,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,0.1,0.6253042863300905
0,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,0.1,0.543615518774326
0,0.003,Histidine440,inst1,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,1,0.1,0.4821818670608192
1,0.003,Alanine232,inst1,ALA,"[2, 3]",C8H26ONSi2,1,0.1,0.188142366753204
1,0.003,Alanine260,inst1,ALA,"[1, 2, 3]",C8H26O2NSi2,1,0.1,0.1633042425244356
1,0.003,Glycine218,inst1,GL,[2],C8H24ONSi2,1,0.1,0.2914710332861379
1,0.003,Glycine246,inst1,GL,"[1, 2]",C8H24O2NSi2,1,0.1,0.18764100799587705
1,0.003,Valine260,inst1,VAL,"[2, 3, 4, 5]",C8H30ONSi2,1,0.1,0.17844566404961842
1,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,0.1,0.18433328490585882
1,0.003,Leucine274,inst1,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.18467251480225583
1,0.003,Isoleucine274,inst1,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.18467251560852488
1,0.003,Methionine320,inst1,MET,"[2, 3, 4, 5]",C6H24NSiS,1,0.1,0.13694883758146856
1,0.003,Serine362,inst1,SER,"[2, 3]",C14H40O2NSi3,1,0.1,0.17478412582367336
1,0.003,Serine390,inst1,SER,"[1, 2, 3]",C14H40O3NSi3,1,0.1,0.18148971646506598
1,0.003,Threonine376,inst1,THR,"[2, 3, 4]",C14H42O2NSi3,1,0.1,0.2243980536830711
1,0.003,Threonine404,inst1,THR,"[1, 2, 3, 4]",C14H42O3NSi3,1,0.1,0.22860394594069255
1,0.003,Phenylalanine302,inst1,PHE,"[1, 2]",C12H32O2NSi2,1,0.1,0.19038615995358235
1,0.003,Phenylalanine308,inst1,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,0.1,0.20177081211705594
1,0.003,Phenylalanine336,inst1,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,1,0.1,0.20699935182488544
1,0.003,Asparticacid302,inst1,ASP,"[1, 2]",C12H32O2NSi2,1,0.1,0.19038615993209454
1,0.003,Asparticacid390,inst1,ASP,"[2, 3, 4]",C14H40O3NSi3,1,0.1,0.2239690036737698
1,0.003,Asparticacid418,inst1,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,0.1,0.22816544403659755
1,0.003,Glutamicacid330,inst1,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,0.1,0.20202221292230615
1,0.003,Glutamicacid432,inst1,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,0.1,0.23265956259268145
1,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,0.1,0.20199238196915173
1,0.003,Histidine440,inst1,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,1,0.1,0.21913547144605638
2,0.003,Alanine232,inst1,ALA,"[2, 3]",C8H26ONSi2,1,0.1,0.235718979937166
2,0.003,Alanine260,inst1,ALA,"[1, 2, 3]",C8H26O2NSi2,1,0.1,0.10537320037682518
2,0.003,Glycine246,inst1,GL,"[1, 2]",C8H24O2NSi2,1,0.1,0.18351411654225513
2,0.003,Valine260,inst1,VAL,"[2, 3, 4, 5]",C8H30ONSi2,1,0.1,0.0701104430796852
2,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,0.1,0.07266986570230449
2,0.003,Leucine274,inst1,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.07131753354800383
2,0.003,Isoleucine274,inst1,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.07131753227091915
2,0.003,Methionine320,inst1,MET,"[2, 3, 4, 5]",C6H24NSiS,1,0.1,0.07111837565657148
2,0.003,Serine362,inst1,SER,"[2, 3]",C14H40O2NSi3,1,0.1,0.2793298362567392
2,0.003,Serine390,inst1,SER,"[1, 2, 3]",C14H40O3NSi3,1,0.1,0.1574379835005708
2,0.003,Threonine376,inst1,THR,"[2, 3, 4]",C14H42O2NSi3,1,0.1,0.10323496752809588
2,0.003,Threonine404,inst1,THR,"[1, 2, 3, 4]",C14H42O3NSi3,1,0.1,0.1056752890439524
2,0.003,Phenylalanine302,inst1,PHE,"[1, 2]",C12H32O2NSi2,1,0.1,0.07391392674156666
2,0.003,Phenylalanine308,inst1,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,0.1,0.07510565802740861
2,0.003,Phenylalanine336,inst1,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,1,0.1,0.0777959794631313
2,0.003,Asparticacid302,inst1,ASP,"[1, 2]",C12H32O2NSi2,1,0.1,0.07391392670403452
2,0.003,Asparticacid390,inst1,ASP,"[2, 3, 4]",C14H40O3NSi3,1,0.1,0.10434308159063409
2,0.003,Asparticacid418,inst1,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,0.1,0.10676123639706626
2,0.003,Glutamicacid330,inst1,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,0.1,0.07656004659731441
2,0.003,Glutamicacid432,inst1,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,0.1,0.10811318311218945
2,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,0.1,0.12588719491734188
