R1_i,R2 net_i,R2 exch_i,R3_i,R4_i,R5_i
99.584,61.831,36.907,18.876,18.876,80.708
99.342,62.771,35.118,18.285,18.285,81.056
99.934,62.388,36.866,18.773,18.773,81.161
99.811,62.757,35.042,18.527,18.527,81.284
99.748,61.201,33.841,19.273,19.273,80.475
99.945,61.648,37.293,19.149,19.149,80.796
99.871,62.48,36.986,18.696,18.696,81.176
100.15,62.629,37.806,18.762,18.762,81.391
99.583,62.195,36.047,18.694,18.694,80.889
99.953,62.477,37.038,18.738,18.738,81.215
100.02,61.936,35.668,19.042,19.042,80.978
99.596,61.702,34.416,18.947,18.947,80.649
99.909,62.052,33.188,18.929,18.929,80.98
100.06,62.33,36.088,18.864,18.864,81.195
99.925,62.571,39.89,18.677,18.677,81.248
99.669,63.038,36.629,18.315,18.315,81.353
99.544,61.854,37.739,18.845,18.845,80.699
99.614,63.004,37.813,18.305,18.305,81.309
99.894,62.192,32.378,18.851,18.851,81.043
99.327,62.348,36.204,18.49,18.49,80.838
99.923,62.091,37.484,18.916,18.916,81.007
100.32,61.895,37.241,19.214,19.214,81.109
99.709,61.626,33.266,19.041,19.041,80.667
99.982,62.133,37.718,18.924,18.924,81.057
99.751,62.228,38.013,18.761,18.761,80.989
99.837,62.389,34.699,18.724,18.724,81.113
99.58,62.089,34.688,18.746,18.746,80.834
99.496,62.43,34.813,18.533,18.533,80.963
99.733,62.185,36.233,18.774,18.774,80.959
99.574,62.063,36.768,18.756,18.756,80.818
100.16,61.737,35.971,19.21,19.21,80.947
99.561,61.436,39.73,19.062,19.062,80.499
100.2,61.629,39.352,19.283,19.283,80.912
99.774,62.076,35.312,18.849,18.849,80.925
100.15,62.138,38.431,19.004,19.004,81.142
99.781,62.268,32.673,18.756,18.756,81.025
100.17,62.195,36.616,18.986,18.986,81.181
100.34,61.196,36.152,19.572,19.572,80.768
99.899,61.63,34.356,19.135,19.135,80.765
99.711,62.758,35.684,18.476,18.476,81.234
99.392,61.623,37.933,18.885,18.885,80.508
100.09,62.089,34.32,19.0,19.0,81.089
99.452,62.322,36.485,18.565,18.565,80.887
99.974,61.227,35.955,19.373,19.373,80.6
100.52,61.687,40.277,19.418,19.418,81.105
99.824,61.557,37.586,19.133,19.133,80.691
100.22,61.89,36.285,19.165,19.165,81.055
99.597,62.26,39.629,18.669,18.669,80.929
99.748,62.42,39.458,18.664,18.664,81.084
100.01,61.506,35.754,19.253,19.253,80.759
99.698,62.711,42.049,18.493,18.493,81.204
99.766,62.108,38.354,18.829,18.829,80.937
99.44,62.285,36.386,18.577,18.577,80.863
100.43,61.169,33.865,19.628,19.628,80.797
100.29,61.7,39.248,19.294,19.294,80.993
99.774,62.431,34.586,18.672,18.672,81.102
100.37,62.49,38.514,18.941,18.941,81.431
100.01,61.959,36.814,19.025,19.025,80.984
100.25,62.074,35.866,19.089,19.089,81.163
99.577,62.658,38.104,18.459,18.459,81.118
100.04,61.678,33.431,19.182,19.182,80.861
100.21,60.936,38.084,19.637,19.637,80.573
99.631,62.491,34.503,18.57,18.57,81.061
100.11,60.922,34.215,19.591,19.591,80.514
99.615,61.957,36.398,18.829,18.829,80.786
99.882,62.297,37.738,18.792,18.792,81.089
99.558,62.357,35.717,18.6,18.6,80.958
99.528,63.031,35.25,18.249,18.249,81.28
99.76,62.369,36.479,18.695,18.695,81.065
99.738,62.589,36.235,18.575,18.575,81.163
99.878,61.955,42.094,18.961,18.961,80.916
99.701,62.311,36.941,18.695,18.695,81.006
99.685,62.954,34.759,18.366,18.366,81.32
99.806,61.928,39.459,18.939,18.939,80.867
99.813,62.68,39.761,18.566,18.566,81.246
99.614,61.968,39.122,18.823,18.823,80.791
99.991,61.604,39.643,19.193,19.193,80.797
99.859,61.902,37.379,18.979,18.979,80.881
99.453,62.887,39.539,18.283,18.283,81.17
99.804,63.039,36.463,18.382,18.382,81.421
100.24,61.374,34.87,19.433,19.433,80.807
99.737,62.425,35.012,18.656,18.656,81.081
100.13,61.144,39.828,19.494,19.494,80.638
99.486,62.988,38.262,18.249,18.249,81.237
99.844,62.125,36.145,18.86,18.86,80.984
99.736,62.491,36.564,18.623,18.623,81.113
99.852,62.188,37.05,18.832,18.832,81.02
100.07,62.014,40.603,19.028,19.028,81.042
99.702,62.427,39.26,18.637,18.637,81.064
99.699,62.67,38.827,18.514,18.514,81.185
99.661,61.495,36.787,19.083,19.083,80.578
99.874,62.412,37.378,18.731,18.731,81.143
99.482,62.443,34.333,18.52,18.52,80.963
99.486,62.454,38.688,18.516,18.516,80.97
99.796,62.326,37.658,18.735,18.735,81.061
99.629,61.598,37.0,19.015,19.015,80.613
100.04,63.281,38.032,18.378,18.378,81.659
99.227,63.149,39.889,18.039,18.039,81.188
99.932,62.98,36.28,18.476,18.476,81.456
99.728,62.174,38.148,18.777,18.777,80.951
99.838,61.504,34.791,19.167,19.167,80.671
99.666,62.34,38.095,18.663,18.663,81.003
99.836,61.989,34.287,18.924,18.924,80.913
99.845,62.707,41.829,18.569,18.569,81.276
99.826,62.553,36.854,18.636,18.636,81.189
99.739,61.919,36.873,18.91,18.91,80.829
99.653,61.994,36.15,18.829,18.829,80.823
100.28,62.201,35.29,19.038,19.038,81.239
99.464,62.083,38.417,18.69,18.69,80.773
99.788,61.838,39.026,18.975,18.975,80.813
100.27,61.177,32.401,19.546,19.546,80.724
100.1,61.964,36.614,19.069,19.069,81.033
99.707,62.144,35.632,18.781,18.781,80.925
100.1,61.09,36.999,19.505,19.505,80.595
99.126,63.084,36.384,18.021,18.021,81.105
99.645,62.33,37.6,18.657,18.657,80.987
99.697,62.86,35.299,18.418,18.418,81.278
99.58,62.158,38.776,18.711,18.711,80.869
99.662,62.954,38.738,18.354,18.354,81.308
100.16,62.369,39.265,18.895,18.895,81.264
99.48,61.196,39.906,19.142,19.142,80.338
100.21,61.194,41.553,19.51,19.51,80.704
100.07,61.439,36.922,19.317,19.317,80.755
99.838,61.774,38.373,19.032,19.032,80.806
100.51,61.402,37.993,19.553,19.553,80.954
100.03,62.515,39.82,18.758,18.758,81.274
99.897,62.148,36.175,18.875,18.875,81.022
99.39,62.654,37.893,18.368,18.368,81.022
100.03,62.2,38.851,18.915,18.915,81.115
100.2,62.015,35.667,19.091,19.091,81.106
99.344,62.865,37.032,18.24,18.24,81.105
100.06,62.342,38.924,18.857,18.857,81.199
100.41,61.125,38.419,19.644,19.644,80.768
99.473,62.528,34.861,18.473,18.473,81.0
100.08,62.178,38.732,18.949,18.949,81.127
99.477,61.776,36.817,18.85,18.85,80.626
100.33,61.041,37.176,19.642,19.642,80.683
99.491,62.001,38.144,18.745,18.745,80.746
100.26,62.158,38.94,19.052,19.052,81.21
100.23,61.775,36.565,19.228,19.228,81.003
99.697,62.099,36.535,18.799,18.799,80.898
99.494,61.998,36.61,18.748,18.748,80.746
99.825,62.26,36.601,18.783,18.783,81.043
99.662,62.777,37.152,18.442,18.442,81.219
99.708,62.409,33.507,18.65,18.65,81.058
99.692,62.902,40.301,18.395,18.395,81.297
99.89,61.731,39.26,19.08,19.08,80.811
100.03,62.439,39.457,18.797,18.797,81.236
99.371,63.303,39.668,18.034,18.034,81.337
99.592,62.157,34.647,18.717,18.717,80.875
100.04,61.623,38.67,19.207,19.207,80.831
100.19,61.037,33.432,19.578,19.578,80.614
99.701,62.122,36.404,18.79,18.79,80.911
100.04,61.186,36.978,19.427,19.427,80.613
100.14,62.314,37.87,18.913,18.913,81.227
99.802,61.672,37.412,19.065,19.065,80.737
100.45,61.897,32.927,19.278,19.278,81.176
99.894,62.247,39.819,18.823,18.823,81.071
99.619,62.028,35.281,18.795,18.795,80.823
99.563,61.356,35.185,19.104,19.104,80.459
100.01,62.187,41.428,18.913,18.913,81.1
100.12,62.164,35.413,18.98,18.98,81.144
100.0,62.271,36.35,18.865,18.865,81.136
99.763,61.91,35.717,18.927,18.927,80.836
99.445,62.706,35.265,18.369,18.369,81.075
99.983,62.048,40.206,18.967,18.967,81.016
100.22,61.793,36.988,19.212,19.212,81.005
99.689,62.734,37.209,18.478,18.478,81.212
99.816,61.828,34.933,18.994,18.994,80.822
99.805,61.981,37.067,18.912,18.912,80.893
99.658,61.792,35.808,18.933,18.933,80.725
99.889,61.186,34.192,19.352,19.352,80.538
99.699,62.332,37.972,18.684,18.684,81.015
99.495,62.364,39.134,18.566,18.566,80.93
99.956,61.744,35.537,19.106,19.106,80.85
100.4,61.657,37.913,19.374,19.374,81.03
99.796,61.637,36.097,19.08,19.08,80.716
100.16,61.788,37.356,19.188,19.188,80.976
100.04,61.325,35.252,19.359,19.359,80.684
99.588,62.669,38.638,18.459,18.459,81.129
100.03,62.154,34.737,18.937,18.937,81.091
99.961,62.016,39.297,18.972,18.972,80.988
99.762,62.397,36.408,18.682,18.682,81.079
99.896,61.724,33.532,19.086,19.086,80.81
99.992,61.65,37.291,19.171,19.171,80.821
100.06,61.597,39.436,19.229,19.229,80.827
99.954,61.75,36.638,19.102,19.102,80.852
100.16,61.935,36.519,19.115,19.115,81.05
99.834,62.103,35.115,18.866,18.866,80.968
99.061,62.055,39.717,18.503,18.503,80.558
100.1,61.793,34.225,19.154,19.154,80.948
100.63,62.339,37.078,19.145,19.145,81.485
99.925,62.352,35.91,18.786,18.786,81.139
100.15,62.071,41.049,19.038,19.038,81.109
99.538,62.316,40.017,18.611,18.611,80.927
99.915,61.993,37.978,18.961,18.961,80.954
100.32,60.482,36.431,19.92,19.92,80.402
99.231,62.699,34.884,18.266,18.266,80.965
99.614,63.227,39.247,18.194,18.194,81.421
100.08,61.774,35.388,19.153,19.153,80.927
99.618,61.893,37.57,18.862,18.862,80.756
99.726,63.141,37.625,18.292,18.292,81.433
99.791,62.954,39.334,18.418,18.418,81.373
99.689,62.276,36.966,18.707,18.707,80.982
99.685,61.26,37.113,19.212,19.212,80.473
100.12,61.789,35.983,19.167,19.167,80.956
100.01,61.579,32.685,19.216,19.216,80.795
99.88,61.915,36.306,18.982,18.982,80.897
99.786,61.852,38.807,18.967,18.967,80.819
100.0,62.087,38.773,18.958,18.958,81.045
99.625,61.763,39.752,18.931,18.931,80.694
99.936,61.006,36.496,19.465,19.465,80.471
99.579,62.428,36.061,18.576,18.576,81.004
99.501,62.359,38.092,18.571,18.571,80.93
100.21,62.251,35.034,18.978,18.978,81.229
99.678,61.81,35.037,18.934,18.934,80.744
100.06,61.801,37.532,19.132,19.132,80.933
99.662,62.67,38.755,18.496,18.496,81.166
99.581,62.169,36.112,18.706,18.706,80.875
100.38,61.64,35.694,19.372,19.372,81.011
99.765,61.849,34.239,18.958,18.958,80.807
99.898,61.87,39.283,19.014,19.014,80.884
99.963,62.309,37.411,18.827,18.827,81.136
100.1,61.79,34.618,19.156,19.156,80.946
99.912,61.497,36.522,19.207,19.207,80.705
99.911,62.336,41.158,18.787,18.787,81.123
99.292,62.99,35.469,18.151,18.151,81.141
99.457,62.562,37.585,18.448,18.448,81.009
99.683,61.995,35.966,18.844,18.844,80.839
99.833,62.272,39.957,18.78,18.78,81.052
100.19,61.814,36.98,19.189,19.189,81.003
99.689,62.941,35.372,18.374,18.374,81.315
99.94,61.304,36.862,19.318,19.318,80.622
100.05,61.613,39.364,19.218,19.218,80.831
100.03,62.191,37.029,18.917,18.917,81.108
100.05,62.035,35.053,19.007,19.007,81.042
99.821,61.573,35.986,19.124,19.124,80.697
99.765,62.203,36.625,18.781,18.781,80.984
100.4,61.971,36.248,19.215,19.215,81.186
99.843,62.058,34.395,18.892,18.892,80.95
99.837,61.521,33.037,19.158,19.158,80.679
99.685,62.09,35.756,18.797,18.797,80.887
100.19,61.986,35.911,19.102,19.102,81.088
99.926,61.791,39.951,19.068,19.068,80.859
99.456,62.165,37.479,18.645,18.645,80.811
100.22,62.474,36.784,18.872,18.872,81.346
99.446,62.583,38.909,18.431,18.431,81.014
99.923,62.48,38.339,18.721,18.721,81.201
100.24,61.432,38.177,19.403,19.403,80.835
99.549,62.907,37.564,18.321,18.321,81.228
99.791,62.499,39.209,18.646,18.646,81.145
100.17,61.912,40.647,19.13,19.13,81.043
99.741,62.364,37.266,18.688,18.688,81.053
99.969,62.0,34.97,18.984,18.984,80.984
100.03,61.652,36.856,19.191,19.191,80.843
99.732,61.791,36.142,18.971,18.971,80.762
100.08,62.317,36.246,18.879,18.879,81.196
99.22,61.387,33.986,18.916,18.916,80.303
99.886,61.598,34.254,19.144,19.144,80.742
99.58,62.464,37.508,18.558,18.558,81.022
99.966,61.912,34.664,19.027,19.027,80.939
99.448,61.69,37.392,18.879,18.879,80.569
99.568,62.062,35.041,18.753,18.753,80.815
99.94,62.744,33.477,18.598,18.598,81.342
99.552,62.294,38.026,18.629,18.629,80.923
99.79,62.803,35.393,18.493,18.493,81.297
99.896,61.866,34.047,19.015,19.015,80.881
99.983,60.887,40.082,19.548,19.548,80.435
100.12,62.074,37.17,19.021,19.021,81.095
100.01,61.396,37.103,19.309,19.309,80.705
99.946,61.323,36.084,19.311,19.311,80.634
100.49,62.08,37.736,19.207,19.207,81.287
99.913,62.065,34.907,18.924,18.924,80.989
100.1,61.709,35.476,19.195,19.195,80.904
100.33,60.97,35.706,19.68,19.68,80.65
99.826,62.519,38.89,18.653,18.653,81.172
99.638,62.304,35.483,18.667,18.667,80.971
99.881,62.384,36.895,18.749,18.749,81.133
99.92,61.656,36.296,19.132,19.132,80.788
99.606,61.676,38.087,18.965,18.965,80.641
99.96,61.655,37.871,19.153,19.153,80.808
99.501,62.617,37.047,18.442,18.442,81.059
99.85,61.638,35.318,19.106,19.106,80.744
99.449,62.804,38.764,18.323,18.323,81.127
99.783,63.148,34.108,18.317,18.317,81.465
99.72,62.206,37.87,18.757,18.757,80.963
99.976,62.205,37.432,18.885,18.885,81.09
100.7,61.877,36.764,19.41,19.41,81.287
99.995,62.106,35.219,18.944,18.944,81.051
99.742,62.091,37.075,18.825,18.825,80.916
99.703,62.124,34.659,18.789,18.789,80.914
100.08,61.353,37.677,19.363,19.363,80.716
99.899,62.17,35.528,18.864,18.864,81.035
99.777,61.232,36.465,19.272,19.272,80.504
100.01,61.874,34.935,19.071,19.071,80.944
100.21,61.788,37.217,19.209,19.209,80.997
99.765,61.738,38.086,19.014,19.014,80.752
100.06,61.815,36.537,19.125,19.125,80.94
99.742,62.373,39.619,18.684,18.684,81.057
99.706,62.258,36.02,18.724,18.724,80.982
99.728,62.037,36.116,18.845,18.845,80.882
99.395,62.088,36.052,18.653,18.653,80.742
100.13,61.069,33.911,19.532,19.532,80.6
99.613,61.684,35.167,18.965,18.965,80.649
99.758,61.713,36.02,19.023,19.023,80.736
99.753,62.17,37.458,18.792,18.792,80.962
99.937,61.736,33.67,19.1,19.1,80.837
99.882,62.331,41.366,18.776,18.776,81.107
99.825,62.504,36.329,18.661,18.661,81.165
100.05,61.728,35.53,19.162,19.162,80.89
99.462,62.129,37.97,18.667,18.667,80.795
99.892,62.26,33.436,18.816,18.816,81.076
99.821,61.069,36.549,19.376,19.376,80.445
99.965,61.263,38.231,19.351,19.351,80.614
99.836,62.498,36.528,18.669,18.669,81.167
99.461,62.307,35.196,18.577,18.577,80.884
