,0
0,C00031.ext (abcdef) -> C00092 (abcdef)
1,C01510.ext (abcde) -> C00231 (abcde)
2,C00469 (ab) -> C00469.ext (ab)
3,C00033 (ab) -> C00033.ext (ab)
4,C00116 (abc) -> C00116.ext (abc)
5,0.459 C00041 + 0.161 C00062 + 0.102 C00152 + 0.297 C00049 + 0.007 C00097 + 0.105 C00064 + 0.302 C00025 + 0.29 C00037 + 0.066 C00135 + 0.193 C00407 + 0.296 C00123 + 0.286 C00047 + 0.051 C00073 + 0.134 C00079 + 0.165 C00148 + 0.185 C00065 + 0.191 C00188 + 0.028 C00078 + 0.102 C00082 + 0.265 C00183 + 0.519 C00182 + 0.023 Trehalose + 0.808 C00464 + 1.135 C00965 + 0.051 C00020 + 0.05 C00055 + 0.051 C00144 + 0.067 C00105 + 0.0036 C00360 + 0.0024 C00239 + 0.0024 C00362 + 0.0036 C00364 + 0.0066 C00422 + 0.0007 C01694 + 0.0015 C05437 + 0.0006 PA + 0.0062 PC + 0.0046 PE + 0.0055 PI + 0.0017 PS + 0.4623 C00024.c -> Biomass
6,C00022.c (abc) -> C00022.mnt (abc)
7,C00022.m (abc) -> C00022.mnt (abc)
8,C00022.mnt (abc) -> C00022.fix (abc)
9,C00092 (abcdef) <-> C05345 (abcdef)
10,C05345 (abcdef) <-> C02336 (abcdef)
11,C02336 (abcdef) <-> C00111 (cba) + C00118 (def)
12,C00111 (abc) <-> C00118 (abc)
13,C00118 (abc) -> C00197 (abc)
14,C00197 (abc) -> C00074 (abc)
15,C00074 (abc) -> C00022.c (abc)
16,C00111 (abc) -> C00093 (abc)
17,C00093 (abc) -> C00116 (abc)
18,C00092 (abcdef) -> C00011 (a) + C00199 (bcdef)
19,C00199 (abcde) <-> C00117 (abcde)
20,C00199 (abcde) <-> C00231 (abcde)
21,C00231 (abcde) <-> C00118 (cde) + TKC2 (ab)
22,C05345 (abcdef) <-> C00279 (cdef) + TKC2 (ab)
23,C05382 (abcdefg) <-> C00117 (cdefg) + TKC2 (ab)
24,C05345 (abcdef) <-> C00118 (def) + TAC3 (abc)
25,C05382 (abcdefg) <-> C00279 (defg) + TAC3 (abc)
26,C00149 (abcd) -> C00022.m (abc) + C00011 (d)
27,C00022.c (abc) + C00011 (d) -> C00036.c (abcd)
28,C00022.c (abc) -> C00084 (bc) + C00011 (a)
29,C00084 (ab) -> C00469 (ab)
30,C00084 (ab) -> C00033 (ab)
31,C00084 (ab) -> C00024.c (ab)
32,C00022.m (abc) -> C00024.m (bc) + C00011 (a)
33,C00036.m (abcd) + C00024.m (ef) -> C00158 (dcbfea)
34,C00158 (abcdef) -> C00451 (abcdef)
35,C00451 (abcdef) -> C00026 (abcde) + C00011 (f)
36,C00026 (abcde) -> C00042 (bcde) + C00011 (a)
37,C00042 (abcd) <-> C00122 (abcd)
38,C00122 (abcd) <-> C00149 (abcd)
39,C00149 (abcd) <-> C00036.m (abcd)
